id;name;author;genre
1;Ножницы Сабо;Главный программирование;forecast
2;специалист;зашифровать твердотельный мобильный;high-level
3;Тыва Borders;вычисление пр.;SSL синтез разработчик
4;техник программирование;вычисление;Меховой Книги
5;Loan пр. фиолетовый;кремовый лимонный;Клатч оптический blockchains
6;Сабо пр.;Australian микрочип;скачивание Маленький Конго
7;резервное deposit;ПО экспортировать;сине-фиолетовый Account сенсор
8;Personal;функциональный Книги продукт;next-generation
9;Ножницы Свободный синтезировать;payment оранжево-розовый;массив
10;functionalities агент пиксель;малышей;Ангола мобильный
